moa,precision,recall,f1
AKT,0.7295238095238095,1.0,0.8392307692307692
AURORA KINASE,0.6535714285714286,0.36666666666666664,0.45933014354066987
CDK,0.6949328449328449,0.5333333333333333,0.5995997290114937
EGFR,0.5679622769260531,0.5481481481481482,0.5555427921831864
HDAC,0.900024154589372,0.8083333333333333,0.8509068031030969
HMGCR,0.72,0.36666666666666664,0.47575757575757577
JAK,0.45532163742690057,0.4133333333333334,0.4242994652406417
MTOR,0.8843822843822844,0.8833333333333332,0.8832463768115941
PARP,0.5296703296703297,0.7666666666666666,0.6254150197628459
TOPOISOMERASE,0.6628571428571428,0.9666666666666668,0.7838461538461539
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.27176797385620916,0.36,0.3070394390555681
