moa,precision,recall,f1
AKT,0.48085470085470083,0.6222222222222222,0.5380192906508696
AURORA KINASE,0.43045112781954886,0.4111111111111111,0.4176920341394026
CDK,0.47669027269027264,0.4814814814814815,0.4785799738530622
EGFR,0.48472053872053866,0.5619047619047619,0.5198646219525896
HDAC,0.829170101828616,0.8133333333333332,0.8199125064979611
HMGCR,0.7714285714285715,0.8,0.7760439560439562
JAK,0.23043697478991598,0.19047619047619047,0.2060437227027616
MTOR,0.7682539682539682,0.3666666666666667,0.482358838272151
PARP,0.5344055944055943,0.6249999999999999,0.5747992202729045
TOPOISOMERASE,0.7081318681318681,0.6666666666666666,0.6830769230769231
TUBULIN,0.692063492063492,0.7777777777777778,0.7247513498152884
TYROSINE KINASE,0.3388888888888889,0.22666666666666666,0.27033816425120777
VEGFR,0.013333333333333332,0.016666666666666666,0.014814814814814814
