moa,precision,recall,f1
AKT,0.5382478632478632,0.6444444444444444,0.5788282828282828
AURORA KINASE,0.481756313861577,0.4444444444444445,0.45368798900208074
CDK,0.4834765694076039,0.4814814814814815,0.4817828315345693
HDAC,0.8300134965776534,0.8177777777777779,0.8234623281082649
HMGCR,0.6007142857142858,0.6666666666666667,0.6142557442557444
JAK,0.30249226647180616,0.2761904761904762,0.28255149540304925
MTOR,0.878095238095238,0.5,0.6297151077336837
PARP,0.4867403913915542,0.6916666666666667,0.5680293270489656
TOPOISOMERASE,0.6389377289377289,0.7166666666666667,0.6746267806267807
TUBULIN,0.8984126984126984,0.7555555555555554,0.8187908496732026
TYROSINE KINASE,0.4483919098143236,0.3555555555555555,0.3960268573930813
VEGFR,0.02714932126696833,0.03333333333333333,0.02979310344827586
