moa,precision,recall,f1
AKT,0.6437118437118438,0.6888888888888888,0.6587586390217969
AURORA KINASE,0.4860910973084886,0.6333333333333333,0.5495910026823243
CDK,0.5935886910024841,0.5111111111111111,0.5454139139932701
HDAC,0.832454687978918,0.8177777777777777,0.8239896991540936
HMGCR,0.616031746031746,0.8333333333333333,0.705018315018315
JAK,0.2489177489177489,0.1333333333333333,0.17138528138528136
MTOR,0.7933333333333333,0.4,0.5260504201680672
PARP,0.4266278599725119,0.5833333333333333,0.4917590705671624
TOPOISOMERASE,0.6183441558441558,0.7,0.6530578117534639
TUBULIN,0.8614285714285714,0.6888888888888889,0.7585448916408669
TYROSINE KINASE,0.5035616195398804,0.52,0.5100734963960771
