moa,precision,recall,f1
AKT,0.48659340659340655,0.6222222222222221,0.5364566379911648
AURORA KINASE,0.4256185038793735,0.5666666666666667,0.4855710414247
CDK,0.5040000000000001,0.5111111111111111,0.5071428571428571
EGFR,0.48529319955406913,0.5809523809523809,0.5273006407993139
HDAC,0.9079387729387729,0.8133333333333332,0.8572827043140897
HMGCR,0.8514285714285714,0.7333333333333333,0.7724941724941725
JAK,0.35409025958561563,0.2666666666666666,0.3033327754999582
MTOR,0.7227777777777779,0.3666666666666667,0.4769374416433241
PARP,0.5483812483812484,0.5833333333333333,0.5644944586530264
TOPOISOMERASE,0.6572494172494172,0.6833333333333333,0.6683156199677939
TUBULIN,0.6009523809523809,0.7555555555555554,0.6654462242562929
TYROSINE KINASE,0.19389194139194138,0.19166666666666665,0.19161853832442072
