moa,precision,recall,f1
AKT,0.6676190476190477,0.9666666666666668,0.7817948717948718
AURORA KINASE,0.4694505494505495,0.38333333333333336,0.41810526315789476
CDK,0.7326270805218174,0.5809523809523809,0.6436717801567156
EGFR,0.6378989516230896,0.6518518518518519,0.6440627925533586
HDAC,0.9266666666666665,0.8375,0.8794593905393345
HMGCR,0.8333333333333333,0.8,0.7913419913419913
JAK,0.4315850815850816,0.3466666666666666,0.38396418396418397
MTOR,0.8651515151515152,0.85,0.8517518713170886
PARP,0.5877615285323196,0.7444444444444445,0.6511052777010224
TOPOISOMERASE,0.6089285714285715,0.7166666666666667,0.6432764603817235
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.03333333333333333,0.03333333333333333,0.03333333333333333
VEGFR,0.15380952380952378,0.4666666666666666,0.22974358974358972
