moa,precision,recall,f1
AKT,0.7247619047619047,1.0,0.8374725274725273
AURORA KINASE,0.7283333333333333,0.35,0.4433766233766233
CDK,0.6728488050738689,0.5047619047619047,0.5691517563963384
HDAC,0.8668721225864082,0.8541666666666667,0.8592435496487167
HMGCR,0.86,0.7,0.7709090909090909
JAK,0.4074242424242424,0.3466666666666667,0.36581493868450393
MTOR,0.951048951048951,0.85,0.8953675889328062
PARP,0.5852171484429549,0.7333333333333334,0.6465771571786609
TOPOISOMERASE,0.6247058823529412,0.8166666666666668,0.7053639846743296
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5879533451947244,0.5454545454545455,0.5619848252106318
VEGFR,0.08686274509803922,0.4,0.1422222222222222
