moa,precision,recall,f1
AKT,0.7033333333333334,1.0,0.8242857142857144
AURORA KINASE,0.8647619047619048,0.4166666666666667,0.5603027175782593
CDK,0.7117300604452307,0.5904761904761904,0.6431725710673079
HDAC,0.9384199134199134,0.8666666666666666,0.9007004830917873
HMGCR,0.8333333333333334,0.6666666666666666,0.7251515151515152
JAK,0.37414424069222835,0.4000000000000001,0.3852484864913707
MTOR,0.9343822843822844,0.85,0.8864931300583473
PARP,0.7235588972431077,0.7555555555555556,0.7385308385308386
TOPOISOMERASE,0.6632352941176471,0.9166666666666667,0.7694581280788177
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5882151712467352,0.7282051282051282,0.6496295294958604
