moa,precision,recall,f1
AKT,0.7914285714285715,1.0,0.8774725274725276
AURORA KINASE,0.7423376623376624,0.41666666666666663,0.5164808673625473
CDK,0.7324886877828054,0.5047619047619047,0.5961816305469556
EGFR,0.5713102525602526,0.6222222222222222,0.5927766969880017
HDAC,0.9336263764048495,0.9083333333333334,0.9202396743697401
HMGCR,0.8095238095238095,0.4666666666666666,0.5487667887667887
JAK,0.4823412698412698,0.4133333333333333,0.43223259663749103
MTOR,0.9636363636363636,0.8333333333333334,0.892377188029362
PARP,0.5370256410256411,0.7888888888888889,0.6382840028188865
TOPOISOMERASE,0.6880971659919027,0.8833333333333332,0.7688984468339306
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.3125383388541283,0.39999999999999997,0.34693603215841384
