moa,precision,recall,f1
AKT,0.4838961038961038,0.6666666666666666,0.5586335403726708
AURORA KINASE,0.5557333241471173,0.7555555555555556,0.6382867767231943
CDK,0.41626086956521735,0.3259259259259259,0.3630175733978743
EGFR,0.42624931543444866,0.5238095238095237,0.46863176850754495
HDAC,0.8844688644688645,0.7866666666666667,0.8315246609499483
HMGCR,0.7345238095238095,0.9666666666666668,0.8320879120879121
JAK,0.3693366633366634,0.23809523809523808,0.27858759837660096
MTOR,0.6856060606060607,0.4333333333333333,0.5239613526570048
PARP,0.41844157200400983,0.5833333333333333,0.4860028204090524
TOPOISOMERASE,0.8668181818181818,0.7333333333333334,0.7911857707509882
TUBULIN,0.5863636363636363,0.711111111111111,0.6375401069518717
TYROSINE KINASE,0.34589423648247175,0.22666666666666666,0.2656941391941392
VEGFR,0.0696969696969697,0.06666666666666667,0.06777924169228516
