moa,precision,recall,f1
AKT,0.5382117882117882,0.6888888888888889,0.5971448500348756
AURORA KINASE,0.5957391304347827,0.7555555555555555,0.663717148799395
CDK,0.3562696443341605,0.31111111111111106,0.3298722731108529
HDAC,0.8553010433059394,0.7866666666666665,0.8191719857486373
HMGCR,0.6580952380952381,0.9,0.7546153846153846
JAK,0.39015151515151514,0.30476190476190473,0.3360112693521655
MTOR,0.711111111111111,0.4166666666666667,0.5233082706766916
PARP,0.41037410105107874,0.5416666666666667,0.46657978170322795
TOPOISOMERASE,0.8089377289377289,0.7833333333333333,0.7850152810152811
TUBULIN,0.7337012987012986,0.711111111111111,0.7172445820433436
TYROSINE KINASE,0.3898726832163365,0.3944444444444445,0.39187984362632255
VEGFR,0.08166666666666667,0.06666666666666667,0.07303030303030303
