moa,precision,recall,f1
AKT,0.7116666666666667,0.711111111111111,0.7067079463364292
AURORA KINASE,0.4594551632913702,0.7666666666666667,0.5734083473451285
CDK,0.5325923504413206,0.40740740740740733,0.4607524401064774
HDAC,0.8798699271099786,0.7733333333333334,0.8223503432046041
HMGCR,0.6533333333333332,0.9,0.75
JAK,0.3059523809523809,0.21904761904761902,0.2526968526968527
MTOR,0.7107142857142857,0.4333333333333334,0.5359231411862989
PARP,0.3880682990899709,0.5583333333333333,0.45698989780718013
TOPOISOMERASE,0.7375291375291375,0.7333333333333333,0.7343768115942029
TUBULIN,0.7747619047619048,0.6666666666666666,0.7108255933952528
TYROSINE KINASE,0.4896686358677943,0.45777777777777773,0.47054569584433575
