moa,precision,recall,f1
AKT,0.5370714888826343,0.7555555555555554,0.6112992889463478
AURORA KINASE,0.4684183999270206,0.7555555555555556,0.5778508582588139
CDK,0.44757575757575757,0.3555555555555555,0.3950911428401148
EGFR,0.4580235856097925,0.6095238095238095,0.5209718574768408
HDAC,0.9244820195284591,0.7511111111111111,0.82835589898271
HMGCR,0.7761904761904762,0.9333333333333333,0.8405128205128205
JAK,0.3037878787878788,0.2,0.23463068499155107
MTOR,0.7357142857142858,0.45,0.555923141186299
PARP,0.48562661949758723,0.5583333333333333,0.517801624348939
TOPOISOMERASE,0.866969696969697,0.8333333333333333,0.8449055775142732
TUBULIN,0.5266666666666666,0.6888888888888889,0.5939348370927318
TYROSINE KINASE,0.4208866995073891,0.29166666666666663,0.33875792529218546
