moa,precision,recall,f1
AKT,0.8261904761904763,1.0,0.9006593406593406
AURORA KINASE,0.4912964228753703,0.5,0.4883605875190728
CDK,0.6956209150326798,0.4666666666666666,0.5523077186914198
EGFR,0.5021860642550298,0.4444444444444445,0.4689688168411572
HDAC,0.9319786741509128,0.825,0.8740878701227622
HMGCR,0.7088888888888889,0.7333333333333333,0.7157575757575757
JAK,0.5340701128936423,0.4133333333333334,0.45852564102564103
MTOR,0.8728438228438229,0.9,0.8852463768115942
PARP,0.7315509213718933,0.8,0.7567401874975687
TOPOISOMERASE,0.8330769230769229,0.8333333333333334,0.8314545454545454
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.0,0.0,0.0
VEGFR,0.20317290552584671,0.8,0.31836385836385833
