moa,precision,recall,f1
AKT,0.8214285714285715,1.0,0.8989010989010989
AURORA KINASE,0.8047619047619048,0.5,0.6139348370927319
CDK,0.5749242424242424,0.45714285714285713,0.5034558768534946
HDAC,0.9092833592055178,0.8291666666666666,0.8668680721033454
HMGCR,0.9166666666666667,0.7,0.7884848484848485
JAK,0.3925,0.39999999999999997,0.38779655231268134
MTOR,0.7365079365079364,0.9,0.8082051282051281
PARP,0.631068008184713,0.8111111111111112,0.7065276157959085
TOPOISOMERASE,0.7992857142857143,0.8333333333333333,0.8085914085914085
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5346466490182398,0.605128205128205,0.5658188255720459
