moa,precision,recall,f1
AKT,0.8642857142857142,1.0,0.9252747252747253
AURORA KINASE,0.637979797979798,0.5166666666666667,0.5701486918878222
CDK,0.6305250305250306,0.419047619047619,0.49816562522444874
EGFR,0.4547555693335744,0.4444444444444445,0.44679300645576986
HDAC,0.8657578984162836,0.8541666666666667,0.8594594556019572
HMGCR,0.6155555555555555,0.5666666666666667,0.5783838383838383
JAK,0.48992481203007515,0.36,0.40014899502120593
MTOR,0.8552156177156178,0.9,0.8737225672877846
PARP,0.6260476978218913,0.788888888888889,0.6905586477015048
TOPOISOMERASE,0.7758585858585858,0.7,0.733794466403162
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.22844932844932844,0.4,0.29062848665798185
