pdid,name,target_name,gene_name,target_type,activity_biochemical,SMILES_std,mw,hba,hbd,rb,logp,tpsa,moa_label,Standardized_SMILES,SMILES_protonated_7.4,TPSA,Rot_Bonds,H_Accpt,H_Donors,LogP,Mol.Wt,Ro5_check,morgan_fps,set
PD053553,miransertib,RAC-alpha serine/threonine-protein kinase,AKT1,single protein,8.6,Nc1ncccc1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(C2(N)CCC2)cc1,432.21,6.0,2.0,4.0,5.07,95.64,AKT,Nc1ncccc1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(C2(N)CCC2)cc1,NC1=NC=CC=C1C1=NC2=CC=C(N=C2N1C1=CC=C(C=C1)C1([NH3+])CCC1)C1=CC=CC=C1,97.26,4.0,5.0,2.0,4.352800000000002,433.5390000000002,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d8b9772a40>,tr
PD012538,AFURESERTIB,RAC-alpha serine/threonine-protein kinase,AKT1,single protein,10.1,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl,426.05,5.0,2.0,6.0,3.89,72.94,AKT,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl,CN1N=CC(Cl)=C1C1=C(Cl)SC(=C1)C(=O)N[C@H](C[NH3+])CC1=CC=CC(F)=C1,74.56,6.0,4.0,2.0,3.177500000000001,428.34000000000015,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d96e0052a0>,tr
PD010906,CCT128930,RAC-beta serine/threonine-protein kinase,AKT2,single protein,8.22,NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,341.14,4.0,2.0,3.0,3.15,70.83,AKT,NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,[NH3+]C1(CC2=CC=C(Cl)C=C2)CCN(CC1)C1=C2C=CNC2=NC=[NH+]1,73.7,3.0,2.0,2.0,1.8539999999999996,343.86199999999997,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d96e01ca50>,tr
PD047342,UPROSERTIB,RAC-alpha serine/threonine-protein kinase,AKT1,single protein,10.18,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl,428.06,5.0,2.0,6.0,3.56,86.08,AKT,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl,CN1N=CC(Cl)=C1C1=C(Cl)OC(=C1)C(=O)N[C@H](C[NH3+])CC1=CC=C(F)C(F)=C1,87.7,6.0,4.0,2.0,2.8481000000000014,430.2620000000001,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d8b9773920>,tr
PD041146,EF24,RAC-beta serine/threonine-protein kinase,AKT2,single protein,6.14,O=C1/C(=C/c2ccccc2F)CNC/C1=C\c1ccccc1F,311.11,2.0,1.0,2.0,3.6,29.1,AKT,O=C1/C(=C/c2ccccc2F)CNC/C1=C\c1ccccc1F,FC1=CC=CC=C1\C=C1/CNC\C(=C/C2=CC=CC=C2F)C1=O,29.1,2.0,2.0,1.0,3.6041000000000016,311.331,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d96e007d80>,tr
,Triciribine,,,,,CN1N=C(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23,,,,,,,AKT,CN1N=C(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23,CN1[NH+]=C(N)C2=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C3=C2C1=NC=N3,143.86,2.0,9.0,5.0,-3.8064999999999998,321.31700000000006,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d8b9771000>,tr
PD065473,capivasertib,RAC-alpha serine/threonine-protein kinase,AKT1,single protein,8.4,NC1(C(=O)NC(CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,428.17,6.0,4.0,6.0,2.15,120.16,AKT,NC1(C(=O)NC(CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,[NH3+]C1(CCN(CC1)C1=C2C=CNC2=NC=[NH+]1)C(=O)NC(CCO)C1=CC=C(Cl)C=C1,123.03000000000002,6.0,4.0,4.0,0.8512000000000002,430.94000000000017,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d8b9773610>,tr
PD014742,SULFAETHIDOLE,RAC-alpha serine/threonine-protein kinase,AKT1,single protein,5.11,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,284.04,6.0,2.0,4.0,1.48,97.97,AKT,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,CCC1=NN=C([N-]S(=O)(=O)C2=CC=C(N)C=C2)S1,100.04,4.0,6.0,1.0,2.0768,283.358,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d9b41450e0>,tr
PD017093,IPATASERTIB,RAC-alpha serine/threonine-protein kinase,AKT1,single protein,9.0,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,457.22,6.0,2.0,6.0,3.1,81.59,AKT,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,CC(C)[NH2+]C[C@@H](C(=O)N1CCN(CC1)C1=NC=NC2=C1[C@H](C)C[C@H]2O)C1=CC=C(Cl)C=C1,86.17,6.0,5.0,2.0,2.0747999999999993,459.0140000000001,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d96e01cf90>,tr
PD019544,PD019544,RAC-alpha serine/threonine-protein kinase,AKT1,single protein,4.57,Cc1cc(C)cc(C(=O)NC(=S)Nc2cc([N+](=O)[O-])ccc2O)c1,345.08,5.0,3.0,3.0,3.04,104.5,AKT,Cc1cc(C)cc(C(=O)NC(=S)Nc2cc([N+](=O)[O-])ccc2O)c1,CC1=CC(=CC(C)=C1)C(=O)NC(=S)NC1=CC(=CC=C1[O-])[N+]([O-])=O,107.33000000000001,3.0,5.0,2.0,2.41204,344.3720000000001,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d96e004ac0>,tr
