MOA,Precision,Recall,F1
AKT,0.36363636363636365,0.24691358024691357,0.29411764705882354
AURORA KINASE,0.33653846153846156,0.19886363636363635,0.25
CDK,0.44642857142857145,0.46296296296296297,0.45454545454545453
EGFR,0.856,0.6301531213191991,0.7259158751696065
HDAC,0.4326241134751773,0.7507692307692307,0.5489313835770528
HMGCR,0.8636363636363636,0.6551724137931034,0.7450980392156863
JAK,0.29545454545454547,0.6111111111111112,0.3983286908077994
MTOR,0.9389312977099237,0.7109826589595376,0.8092105263157895
PARP,0.4295774647887324,0.5980392156862745,0.5
TOPOISOMERASE,0.2631578947368421,0.09259259259259259,0.136986301369863
TUBULIN,0.5434782608695652,0.4807692307692308,0.5102040816326531
TYROSINE KINASE,0.25757575757575757,0.0776255707762557,0.11929824561403508
VEGFR,0.0784313725490196,0.3076923076923077,0.125
