MOA,Precision,Recall,F1
AKT,0.5161290322580645,0.19753086419753085,0.2857142857142857
AURORA KINASE,0.3698630136986301,0.1534090909090909,0.21686746987951808
CDK,0.5220338983050847,0.47530864197530864,0.4975767366720517
HDAC,0.5799522673031027,0.7476923076923077,0.6532258064516129
HMGCR,0.9508196721311475,0.6666666666666666,0.7837837837837838
JAK,0.3767772511848341,0.6794871794871795,0.4847560975609756
MTOR,0.9323308270676691,0.7167630057803468,0.8104575163398693
PARP,0.5441176470588235,0.7254901960784313,0.6218487394957983
TOPOISOMERASE,0.36363636363636365,0.07407407407407407,0.12307692307692308
TUBULIN,0.37662337662337664,0.5576923076923077,0.4496124031007752
TYROSINE KINASE,0.774922918807811,0.7059925093632958,0.7388535031847133
VEGFR,0.08620689655172414,0.38461538461538464,0.14084507042253522
