MOA,Precision,Recall,F1
AKT,0.40384615384615385,0.25925925925925924,0.3157894736842105
AURORA KINASE,0.32231404958677684,0.2215909090909091,0.26262626262626265
CDK,0.5603112840466926,0.4444444444444444,0.49569707401032703
HDAC,0.6475903614457831,0.6615384615384615,0.654490106544901
HMGCR,0.8227848101265823,0.7471264367816092,0.7831325301204819
JAK,0.4049079754601227,0.5641025641025641,0.4714285714285714
MTOR,0.948905109489051,0.7514450867052023,0.8387096774193549
PARP,0.3076923076923077,0.7843137254901961,0.4419889502762431
TOPOISOMERASE,0.14705882352941177,0.09259259259259259,0.11363636363636363
TUBULIN,0.5641025641025641,0.4230769230769231,0.4835164835164835
TYROSINE KINASE,0.7347908745247148,0.7150786308973173,0.7248007501172058
