MOA,Precision,Recall,F1
AKT,0.3958333333333333,0.2345679012345679,0.29457364341085274
AURORA KINASE,0.36619718309859156,0.29545454545454547,0.3270440251572327
CDK,0.49324324324324326,0.4506172839506173,0.47096774193548385
EGFR,0.8247261345852895,0.6207302709069493,0.7083333333333334
HDAC,0.6045845272206304,0.6492307692307693,0.6261127596439169
HMGCR,0.9836065573770492,0.6896551724137931,0.8108108108108109
JAK,0.3276283618581907,0.5726495726495726,0.416796267496112
MTOR,0.9838709677419355,0.7052023121387283,0.8215488215488216
PARP,0.25914634146341464,0.8333333333333334,0.3953488372093023
TOPOISOMERASE,0.36363636363636365,0.07407407407407407,0.12307692307692308
TUBULIN,0.375,0.5192307692307693,0.43548387096774194
TYROSINE KINASE,0.2,0.1810344827586207,0.19004524886877827
