MOA,Precision,Recall,F1
AKT,0.74,0.4567901234567901,0.5648854961832062
AURORA KINASE,0.27461139896373055,0.30113636363636365,0.2872628726287263
CDK,0.48498845265588914,0.6481481481481481,0.5548216644649934
EGFR,0.8197767145135566,0.6054181389870436,0.6964769647696477
HDAC,0.6269430051813472,0.7446153846153846,0.680731364275668
HMGCR,0.984375,0.7241379310344828,0.8344370860927153
JAK,0.3303370786516854,0.6282051282051282,0.4329896907216495
MTOR,0.9057971014492754,0.7225433526011561,0.8038585209003215
PARP,0.36585365853658536,0.5882352941176471,0.45112781954887216
TOPOISOMERASE,0.4666666666666667,0.12962962962962962,0.2028985507246377
TUBULIN,0.6744186046511628,0.5576923076923077,0.6105263157894737
TYROSINE KINASE,0.2894736842105263,0.1004566210045662,0.14915254237288136
VEGFR,0.07272727272727272,0.3076923076923077,0.11764705882352941
