MOA,Precision,Recall,F1
AKT,0.5671641791044776,0.4691358024691358,0.5135135135135135
AURORA KINASE,0.2376237623762376,0.2727272727272727,0.25396825396825395
CDK,0.5543478260869565,0.6296296296296297,0.5895953757225434
HDAC,0.703030303030303,0.7138461538461538,0.7083969465648855
HMGCR,0.9305555555555556,0.7701149425287356,0.8427672955974843
JAK,0.39285714285714285,0.6581196581196581,0.49201277955271566
MTOR,0.9242424242424242,0.7052023121387283,0.8
PARP,0.5045871559633027,0.5392156862745098,0.5213270142180095
TOPOISOMERASE,0.2857142857142857,0.1111111111111111,0.16
TUBULIN,0.5352112676056338,0.7307692307692307,0.6178861788617886
TYROSINE KINASE,0.8065268065268065,0.6479400749063671,0.7185877466251298
VEGFR,0.05970149253731343,0.3076923076923077,0.1
