MOA,Precision,Recall,F1
AKT,0.6956521739130435,0.3950617283950617,0.5039370078740157
AURORA KINASE,0.28717948717948716,0.3181818181818182,0.3018867924528302
CDK,0.5949008498583569,0.6481481481481481,0.620384047267356
HDAC,0.6063569682151589,0.7630769230769231,0.6757493188010899
HMGCR,1.0,0.7011494252873564,0.8243243243243243
JAK,0.38544474393531,0.6111111111111112,0.4727272727272727
MTOR,0.8666666666666667,0.7514450867052023,0.804953560371517
PARP,0.3652694610778443,0.5980392156862745,0.45353159851301117
TOPOISOMERASE,0.8571428571428571,0.1111111111111111,0.19672131147540983
TUBULIN,0.4827586206896552,0.5384615384615384,0.509090909090909
TYROSINE KINASE,0.7901376146788991,0.637372802960222,0.7055811571940604
