MOA,Precision,Recall,F1
AKT,0.6545454545454545,0.4444444444444444,0.5294117647058824
AURORA KINASE,0.39669421487603307,0.2727272727272727,0.32323232323232326
CDK,0.46485260770975056,0.6327160493827161,0.5359477124183006
EGFR,0.8551401869158879,0.6466431095406361,0.7364185110663984
HDAC,0.6212121212121212,0.7569230769230769,0.6823855755894591
HMGCR,1.0,0.6781609195402298,0.8082191780821918
JAK,0.38181818181818183,0.5384615384615384,0.44680851063829785
MTOR,0.8970588235294118,0.7052023121387283,0.7896440129449838
PARP,0.29880478087649404,0.7352941176470589,0.42492917847025496
TOPOISOMERASE,0.23076923076923078,0.1111111111111111,0.15
TUBULIN,0.6888888888888889,0.5961538461538461,0.6391752577319587
TYROSINE KINASE,0.24064171122994651,0.1939655172413793,0.21479713603818615
