MOA,Precision,Recall,F1
AKT,0.6666666666666666,0.6666666666666666,0.6666666666666666
AURORA KINASE,0.3333333333333333,0.3333333333333333,0.3333333333333333
CDK,0.8571428571428571,0.6666666666666666,0.75
EGFR,0.7142857142857143,0.7142857142857143,0.7142857142857143
HDAC,0.7894736842105263,1.0,0.8823529411764706
HMGCR,1.0,1.0,1.0
JAK,1.0,0.8571428571428571,0.9230769230769231
MTOR,1.0,0.5,0.6666666666666666
PARP,0.5384615384615384,0.875,0.6666666666666666
TOPOISOMERASE,1.0,0.75,0.8571428571428571
TUBULIN,1.0,0.3333333333333333,0.5
TYROSINE KINASE,0.42857142857142855,0.375,0.4
