pdid,name,target_name,gene_name,target_type,activity_biochemical,SMILES_std,mw,hba,hbd,rb,logp,tpsa,moa_label,Standardized_SMILES,SMILES_protonated_7.4,TPSA,Rot_Bonds,H_Accpt,H_Donors,LogP,Mol.Wt,Ro5_check,morgan_fps,set
PD011147,ABEXINOSTAT,Histone deacetylase 1,HDAC1,single protein,8.15,CN(C)Cc1c(C(=O)NCCOc2ccc(C(O)=NO)cc2)oc2ccccc12,397.16,6.0,3.0,8.0,2.42,104.04,HDAC,CN(C)Cc1c(C(=O)NCCOc2ccc(C(O)=NO)cc2)oc2ccccc12,C[NH+](C)CC1=C(OC2=CC=CC=C12)C(=O)NCCOC1=CC=C(C=C1)C(O)N=O,105.57000000000002,9.0,6.0,3.0,1.6433999999999993,398.4390000000001,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d8a821a030>,tr
PD125974,J22352,Histone deacetylase 6,HDAC6,single protein,8.38,O=c1c2ccccc2n(Cc2ccc(C(O)=NO)cc2)c(=O)n1CCc1ccccc1,415.15,6.0,2.0,6.0,2.57,93.33,HDAC,O=c1c2ccccc2n(Cc2ccc(C(O)=NO)cc2)c(=O)n1CCc1ccccc1,OC(N=O)C1=CC=C(CN2C(=O)N(CCC3=CC=CC=C3)C(=O)C3=CC=CC=C23)C=C1,93.66,7.0,7.0,1.0,3.211500000000002,415.44900000000007,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d92474a030>,tr
PD003566,JQ12,Histone deacetylase 1,HDAC1,single protein,7.4,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,351.1,4.0,3.0,4.0,4.21,84.22,HDAC,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,CC(=O)NC1=CC=C(C=C1)C(=O)NC1=CC(=CC=C1N)C1=CC=CS1,84.22,4.0,4.0,3.0,4.208000000000002,351.43100000000004,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d924749d20>,tr
PD003516,BENDAMUSTINE,Histone deacetylase 6,HDAC6,single protein,8.11,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,357.1,4.0,1.0,9.0,3.26,58.36,HDAC,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,CN1C(CCCC([O-])=O)=NC2=CC(=CC=C12)N(CCCl)CCCl,61.190000000000005,9.0,5.0,0.0,1.9298999999999995,357.2610000000001,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d96e01ea40>,tr
PD003360,CAY10603,Histone deacetylase 3,HDAC3,single protein,8.7,CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(O)=NO)no2)cc1,446.22,7.0,4.0,10.0,3.87,142.79,HDAC,CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(O)=NO)no2)cc1,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C1=CC(=NO1)C(=O)NCCCCCCC(=O)NO,142.79,10.0,7.0,4.0,3.8743000000000016,446.50400000000036,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d88f5726c0>,tr
PD003533,DACTOLISIB,Histone deacetylase 6,HDAC6,single protein,8.7,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,469.19,6.0,0.0,3.0,5.89,76.5,HDAC,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,CN1C(=O)N(C2=C1C=NC1=C2C=C(C=C1)C1=CC2=CC=CC=C2N=C1)C1=CC=C(C=C1)C(C)(C)C#N,76.5,3.0,6.0,0.0,5.893780000000005,469.54800000000023,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d96c920200>,tr
PD010362,RG-2833,Histone deacetylase 3,HDAC3,single protein,8.3,Cc1ccc(C(=O)NCCCCCC(=O)Nc2ccccc2N)cc1,339.19,3.0,3.0,8.0,3.51,84.22,HDAC,Cc1ccc(C(=O)NCCCCCC(=O)Nc2ccccc2N)cc1,CC1=CC=C(C=C1)C(=O)NCCCCCC(=O)NC1=CC=CC=C1N,84.22,8.0,3.0,3.0,3.506120000000001,339.439,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d924749c40>,tr
PD021356,SUBEROHYDROXAMIC ACID,Histone deacetylase 6,HDAC6,single protein,6.76,ON=C(O)CCCCCCC(O)=NO,204.11,4.0,4.0,7.0,0.34,98.66,HDAC,ON=C(O)CCCCCCC(O)=NO,ONC(=O)CCCCCCC(=O)NO,98.66000000000001,7.0,4.0,4.0,0.3377999999999993,204.226,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d924748430>,tr
PD003470,BRD3308,Histone deacetylase 3,HDAC3,single protein,7.19,CC(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)cc1,287.11,3.0,3.0,3.0,2.62,84.22,HDAC,CC(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)cc1,CC(=O)NC1=CC=C(C=C1)C(=O)NC1=CC=C(F)C=C1N,84.22,3.0,3.0,3.0,2.6186,287.29400000000004,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d88f573f40>,tr
PD064856,TINOSTAMUSTINE,Histone deacetylase 1,HDAC1,single protein,8.0,Cn1c(CCCCCCC(O)=NO)nc2cc(N(CCCl)CCCl)ccc21,414.16,5.0,2.0,12.0,3.86,70.39,HDAC,Cn1c(CCCCCCC(O)=NO)nc2cc(N(CCCl)CCCl)ccc21,CN1C(CCCCCCC(=O)NO)=NC2=CC(=CC=C12)N(CCCl)CCCl,70.39,12.0,5.0,2.0,3.8557000000000023,415.36500000000024,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d96e005850>,tr
PD006806,butyric acid,Histone deacetylase 3,HDAC3,single protein,5.05,CCCC(=O)O,88.05,1.0,1.0,2.0,0.87,37.3,HDAC,CCCC(=O)O,CCCC([O-])=O,40.129999999999995,2.0,2.0,0.0,-0.46360000000000023,87.09799999999998,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d9247aa6c0>,tr
PD003432,TACEDINALINE,Histone deacetylase 2,HDAC2,single protein,6.82,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,269.12,3.0,3.0,3.0,2.48,84.22,HDAC,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,CC(=O)NC1=CC=C(C=C1)C(=O)NC1=CC=CC=C1N,84.22,3.0,3.0,3.0,2.4795,269.30400000000003,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d92474bd10>,tr
PD003328,ENTINOSTAT,Histone deacetylase 1,HDAC1,single protein,7.2,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,376.15,5.0,3.0,6.0,3.34,106.34,HDAC,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,NC1=CC=CC=C1NC(=O)C1=CC=C(CNC(=O)OCC2=CC=CN=C2)C=C1,106.34,6.0,5.0,3.0,3.342500000000001,376.4160000000001,True,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x77d96c921460>,tr
