pdid,name,target_name,gene_name,target_type,activity_biochemical,SMILES_std,mw,hba,hbd,rb,logp,tpsa,moa_label,Standardized_SMILES,SMILES_protonated_7.4,morgan_fps,set,cluster
PD121477,CHEMBL3416132,Protein mono-ADP-ribosyltransferase PARP10,PARP10,single protein,4.39,O=C1NCCc2ccc(Cl)cc21,181.03,1.0,1.0,0.0,1.63,29.1,PARP,O=C1NCCc2ccc(Cl)cc21,ClC1=CC=C2CCNC(=O)C2=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d9000>,tr,0
PD003609,CHM-1,Tubulin beta-2B chain,TUBB2B,single protein,6.07,O=c1cc(-c2ccccc2F)[nH]c2cc3c(cc12)OCO3,283.06,3.0,1.0,1.0,3.06,51.32,TUBULIN,O=c1cc(-c2ccccc2F)[nH]c2cc3c(cc12)OCO3,FC1=CC=CC=C1C1=CC(=O)C2=CC3=C(OCO3)C=C2N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d8f20>,tr,1
PD119876,DHNQ,Aurora kinase A,AURKA,single protein,7.05,O=C1C=CC(=O)c2c(O)ccc(O)c21,190.03,4.0,2.0,0.0,1.03,74.6,AURORA KINASE,O=C1C=CC(=O)c2c(O)ccc(O)c21,OC1=C2C(=O)C=CC(=O)C2=C(O)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d92a0>,tr,2
PD041146,EF24,RAC-beta serine/threonine-protein kinase,AKT2,single protein,6.14,O=C1/C(=C/c2ccccc2F)CNC/C1=C\c1ccccc1F,311.11,2.0,1.0,2.0,3.6,29.1,AKT,O=C1/C(=C/c2ccccc2F)CNC/C1=C\c1ccccc1F,FC1=CC=CC=C1\C=C1/CNC\C(=C/C2=CC=CC=C2F)C1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d9070>,tr,3
PD150828,GOSSYPIN,Aurora kinase B,AURKB,single protein,4.96,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,480.09,13.0,9.0,4.0,-0.83,230.74,AURORA KINASE,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,OC[C@H]1O[C@@H](OC2=C3OC(=C([O-])C(=O)C3=C(O)C=C2[O-])C2=CC=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d9310>,tr,4
PD003753,GW770249X,Vascular endothelial growth factor receptor 3,FLT4,single protein,8.12,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,431.1,5.0,3.0,3.0,5.27,106.07,TYROSINE KINASE,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,NC1=C2C(OC=C2C2=CC=C(NC(=O)NC3=CC(=CC=C3F)C(F)(F)F)C=C2)=NC=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d8970>,tr,4
PD040184,NSC 33994,Tyrosine-protein kinase JAK2,JAK2,single protein,7.22,CC/C(=C(/CC)c1ccc(O)c(CN(CC)CC)c1)c1ccc(O)c(CN(CC)CC)c1,438.32,4.0,2.0,12.0,6.51,46.94,JAK,CC/C(=C(/CC)c1ccc(O)c(CN(CC)CC)c1)c1ccc(O)c(CN(CC)CC)c1,CC[NH+](CC)CC1=CC(=CC=C1O)C(\CC)=C(/CC)C1=CC=C(O)C(C[NH+](CC)CC)=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d8dd0>,tr,5
PD097815,OSM-S-171,Poly [ADP-ribose] polymerase 1,PARP1,single protein,4.85,O=c1[nH]cnc2ccsc12,152.0,3.0,1.0,0.0,0.98,45.75,PARP,O=c1[nH]cnc2ccsc12,O=C1NC=NC2=C1SC=C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d89e0>,tr,7
PD164656,PARP1-IN-5 (dihydrochloride),Poly [ADP-ribose] polymerase 1,PARP1,single protein,7.54,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(Cc4cccs4)CC3)c(O)cc(O)c12,464.14,8.0,3.0,5.0,3.96,97.38,PARP,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(Cc4cccs4)CC3)c(O)cc(O)c12,OC1=CC=C(C=C1)C1=CC(=O)C2=C([O-])C=C([O-])C(CN3CCN(CC4=CC=CS4)CC3)=C2O1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d8f90>,tr,8
PD199656,PARP10-IN-2,Protein mono-ADP-ribosyltransferase PARP10,PARP10,single protein,5.44,N#Cc1ccc(Oc2ccc(C(N)=O)cc2)cc1,238.07,3.0,1.0,3.0,2.45,76.11,PARP,N#Cc1ccc(Oc2ccc(C(N)=O)cc2)cc1,NC(=O)C1=CC=C(OC2=CC=C(C=C2)C#N)C=C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x746fc75d91c0>,tr,9
